X,Y,Centroid
198584.2772307698,-156350.69346153873,0.0
1252718.8926153814,120187.76807692244,1.0
443150.529943574,232753.4782288392,2.0
937581.1199402926,370580.9942537304,3.0
885390.3297054273,-17850.395310077427,4.0
487733.1376296297,-284707.3368181826,5.0
602022.42691892,14273.007162161992,6.0
256028.03630188757,-360436.3248113215,7.0
1129770.1746666608,343470.49412280606,8.0
1416712.530556391,151998.06304511207,9.0
631254.1929315074,198891.66691780748,10.0
604300.6910985925,-171269.43669014092,11.0
1053103.507999997,93935.16932432367,12.0
289556.4994529924,-53701.12081196575,13.0
1562761.0422465738,198663.35641552435,14.0
368766.1586024105,-356081.9260843381,15.0
1416873.5614759296,-89680.5988502672,16.0
580103.508000001,311660.84499999916,17.0
503503.5080000009,39844.17833333317,18.0
1565436.841333331,-69984.39309523796,19.0
276063.70700497593,171737.7106716412,20.0
1221727.361211003,-204311.17334862432,21.0
813035.6346968301,435436.63685520267,22.0
1244307.2117036975,-42703.96981481482,23.0
354424.751523317,-220453.92183937875,24.0
888571.3442573092,175005.58184210476,25.0
765566.7432941137,91154.96264705833,26.0
457951.9928484859,-96222.48833333323,27.0
1761010.4847441826,-47075.20151162794,28.0
1743930.846129491,91499.33420863337,29.0
1020164.1140606042,295656.2995454538,30.0
638797.9524444455,416763.62277777697,31.0
1435754.514711405,24694.737617449682,32.0
1582689.4952611409,41314.666656050824,33.0
146795.0967850465,133746.35901869187,34.0
58230.090278480995,13946.28803797471,35.0
785726.458819673,228504.28762295042,36.0
748263.9358074871,335399.6150534751,37.0
1657823.7877202742,167950.00583916056,38.0
1318280.499150442,-158729.86296460158,39.0
