X,Y,LeastCostSystem
68103.508,497110.845,00
78103.508,497110.845,00
88103.508,497110.845,00
98103.508,497110.845,00
108103.508,497110.845,00
118103.508,497110.845,00
128103.508,497110.845,00
138103.508,497110.845,00
148103.508,497110.845,00
158103.508,497110.845,00
168103.508,497110.845,00
178103.508,497110.845,00
188103.508,497110.845,00
198103.508,497110.845,00
208103.508,497110.845,00
218103.508,497110.845,00
228103.508,497110.845,00
238103.508,497110.845,00
248103.508,497110.845,00
258103.508,497110.845,00
268103.50800000003,497110.845,00
278103.50800000003,497110.845,00
288103.50800000003,497110.845,00
298103.50800000003,497110.845,00
308103.50800000003,497110.845,00
318103.50800000003,497110.845,00
328103.50800000003,497110.845,00
338103.508,497110.845,00
348103.508,497110.845,00
358103.508,497110.845,00
368103.508,497110.845,00
378103.508,497110.845,00
388103.508,497110.845,00
398103.508,497110.845,00
408103.508,497110.845,00
418103.508,497110.845,00
428103.508,497110.845,00
438103.508,497110.845,00
448103.508,497110.845,00
458103.508,497110.845,00
468103.508,497110.845,00
478103.508,497110.845,00
488103.508,497110.845,00
498103.508,497110.845,00
508103.508,497110.845,00
518103.508,497110.845,00
528103.5079999999,497110.845,00
538103.5079999999,497110.845,00
548103.5079999999,497110.845,00
558103.5079999999,497110.845,00
568103.5079999999,497110.845,00
578103.5079999999,497110.845,00
588103.5079999999,497110.845,00
598103.5079999999,497110.845,00
608103.5079999999,497110.845,00
618103.5079999999,497110.845,00
628103.5079999999,497110.845,00
638103.5079999999,497110.845,00
648103.5079999999,497110.845,00
658103.5079999999,497110.845,00
668103.5079999999,497110.845,00
678103.5079999999,497110.845,00
688103.5079999999,497110.845,00
698103.5079999999,497110.845,00
708103.5079999998,497110.845,00
718103.5079999998,497110.845,00
728103.5079999998,497110.845,00
738103.5079999998,497110.845,00
748103.5079999998,497110.845,00
758103.5079999998,497110.845,00
768103.5079999998,497110.845,00
778103.5079999998,497110.845,00
788103.5079999998,497110.845,00
798103.5079999998,497110.845,00
808103.5079999998,497110.845,01
818103.5079999998,497110.845,01
828103.5079999998,497110.845,11
838103.5079999998,497110.845,11
848103.5079999998,497110.845,51
858103.5079999998,497110.845,51
868103.5079999998,497110.845,51
878103.5079999998,497110.845,51
888103.5079999998,497110.845,51
898103.5079999998,497110.845,51
908103.508,497110.845,51
918103.508,497110.845,00
928103.508,497110.845,00
938103.508,497110.845,00
948103.508,497110.845,00
958103.508,497110.845,00
968103.508,497110.845,00
978103.508,497110.845,00
988103.508,497110.845,00
998103.508,497110.845,00
1008103.508,497110.845,00
1018103.508,497110.845,00
1028103.508,497110.845,00
1038103.508,497110.845,00
1048103.508,497110.845,00
1058103.508,497110.845,00
1068103.508,497110.845,00
1078103.508,497110.845,00
1088103.508,497110.845,00
1098103.508,497110.845,00
1108103.508,497110.845,00
1118103.508,497110.845,00
1128103.508,497110.845,00
1138103.508,497110.845,00
1148103.508,497110.845,00
1158103.508,497110.845,00
1168103.508,497110.845,00
1178103.508,497110.845,00
1188103.508,497110.845,00
1198103.508,497110.845,00
1208103.508,497110.845,00
1218103.508,497110.845,00
1228103.508,497110.845,00
1238103.508,497110.845,00
78103.508,487110.845,00
88103.508,487110.845,00
98103.508,487110.845,00
108103.508,487110.845,00
118103.508,487110.845,00
128103.508,487110.845,00
138103.508,487110.845,00
148103.508,487110.845,00
158103.508,487110.845,00
168103.508,487110.845,00
178103.508,487110.845,00
188103.508,487110.845,00
198103.508,487110.845,00
208103.508,487110.845,00
218103.508,487110.845,00
228103.508,487110.845,00
238103.508,487110.845,00
248103.508,487110.845,00
258103.508,487110.845,00
268103.50800000003,487110.845,00
